Country,City,CityId,Latitude,Longitude
Austria,Klagenfurt,904,46.650000000,14.330000000
Austria,Vienna,17,48.250000000,16.370000000
Azerbaijan,Baku,18,40.380000000,49.850000000
Azerbaijan,Ganja,19,40.720000000,46.420000000
Azerbaijan,Lenkaran,20,38.750000000,48.830000000
Bahamas,Freeport,1633,26.550000000,-78.700000000
Bahamas,Inagua,1634,20.950000000,-73.680000000
Bahamas,Nassau,97,25.050000000,-77.466667000
Bahrain,Bahrain/Manama,220,26.270000000,50.650000000
Bangladesh,Barishal,1168,22.700000000,90.370000000
Bangladesh,Chittagong,1164,22.800000000,91.990000000
Bangladesh,Dhaka,1163,23.710000000,90.410000000
Bangladesh,Khulna,1167,22.810000000,89.250000000
Bangladesh,Rajshahi,1166,24.363588600,88.624135100
Bangladesh,Sylhet,1165,24.900000000,91.880000000
Belarus,Minsk,205,53.928611000,27.635278000
Belgium,Aalst,2291,50.944717000,4.068921000
Belgium,Aalter,2292,51.078255000,3.445283000
Belgium,Aarschot,2293,50.988923000,4.864586000
Belgium,Aartselaar,2294,51.131852000,4.382501000
Belgium,Affligem,2295,50.904037000,4.115474000
Belgium,Aiseau-Presles,2296,50.404782000,4.576849000
Belgium,Alken,2297,50.878365000,5.290641000
Belgium,Alveringem,2298,50.975716000,2.677717000
Belgium,Amay,2299,50.552967000,5.311641000
Belgium,Amel,2300,50.345619000,6.181235000
Belgium,Andenne,2301,50.486761000,5.057898000
Belgium,Anderlecht,2302,50.829070000,4.292967000
Belgium,Anderlues,2303,50.403650000,4.265594000
Belgium,Anhee,2304,50.318889000,4.809997000
Belgium,Ans,2305,50.682719000,5.506069000
Belgium,Anthisnes,2306,50.489453000,5.498663000
Belgium,Antoing,2307,50.556179000,3.465746000
Belgium,Antwerp,2308,51.260463000,4.369588000
Belgium,Anzegem,2309,50.830797000,3.454011000
Belgium,Ardooie,2310,50.981723000,3.203110000
Belgium,Arendonk,2311,51.334679000,5.085408000
Belgium,Arlon,2312,49.675217000,5.793857000
